method,split,threshold_source,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,recon_f1_mean,recon_f1_std,recon_f1_min,recon_f1_max,de_f1_mean,de_f1_std,de_f1_min,de_f1_max,override_rate_mean,override_rate_std,override_rate_min,override_rate_max,macro_f1_delta_vs_frozen_mean,macro_f1_delta_vs_frozen_std,macro_f1_delta_vs_frozen_min,macro_f1_delta_vs_frozen_max,recon_f1_delta_vs_frozen_mean,recon_f1_delta_vs_frozen_std,recon_f1_delta_vs_frozen_min,recon_f1_delta_vs_frozen_max,de_f1_delta_vs_frozen_mean,de_f1_delta_vs_frozen_std,de_f1_delta_vs_frozen_min,de_f1_delta_vs_frozen_max
frozen,test,fixed_canonical_extension_no_new_search,0.8848927416538888,0.0030742244530392146,0.8804748819626835,0.8874128952921708,0.7164874989334431,0.04115867141370234,0.6589676975947631,0.7529048281382914,0.7919437795974584,0.021082305642782725,0.7688091340478097,0.8125859510455398,0.06149589721865473,0.09016504939103481,0.0011479408810446262,0.1919921635851598,0.6318073228275272,0.1667344822757036,0.3987667009249743,0.7899027083881146,,,,,,,,,,,,,,,,
frozen,test,original_locked_validation_selection,0.8983942876517532,0.005109731804684663,0.8931211950993639,0.9033232628398792,0.7684600248658944,0.011751714063002516,0.75790947650372,0.7811256461539607,0.8731557803502091,0.025277841829245525,0.8506692441874758,0.9005153772969198,0.025043810975688512,0.04008664466340306,0.0013012361743656475,0.07132667617689016,0.9156598900980651,0.025975229745605337,0.8860103626943006,0.9344078800089546,,,,,,,,,,,,,,,,
frozen,test_shuffle_bn_order,fixed_canonical_extension_no_new_search,0.8848927416538888,0.0030742244530392146,0.8804748819626835,0.8874128952921708,0.7164874989334431,0.04115867141370234,0.6589676975947631,0.7529048281382914,0.7919437795974584,0.021082305642782725,0.7688091340478097,0.8125859510455398,0.06149589721865473,0.09016504939103481,0.0011479408810446262,0.1919921635851598,0.6318073228275272,0.1667344822757036,0.3987667009249743,0.7899027083881146,,,,,,,,,,,,,,,,
frozen,test_shuffle_bn_order,original_locked_validation_selection,0.8983942876517532,0.005109731804684663,0.8931211950993639,0.9033232628398792,0.7684600248658944,0.011751714063002516,0.75790947650372,0.7811256461539607,0.8731557803502091,0.025277841829245525,0.8506692441874758,0.9005153772969198,0.025043810975688512,0.04008664466340306,0.0013012361743656475,0.07132667617689016,0.9156598900980651,0.025975229745605337,0.8860103626943006,0.9344078800089546,,,,,,,,,,,,,,,,
frozen,val,fixed_canonical_extension_no_new_search,0.7549890120544227,0.02158649833692587,0.7426720098245161,0.7872216656432796,0.7346022140764373,0.00659901987447287,0.7261898478708113,0.7408437118398747,0.7952944456502491,0.027091496440627933,0.7714495496130025,0.821913674828925,0.6424357770103166,0.04811894270092715,0.6111904831326355,0.7141787051899412,0.4797127484770409,0.07284332028010762,0.3732590529247911,0.5345946948618067,,,,,,,,,,,,,,,,
frozen,val,original_locked_validation_selection,0.7474927016341876,0.005570674578511232,0.7432052483598875,0.7537892253498368,0.7327922325795537,0.007075530042010603,0.724770955104549,0.7381472879664367,0.8128021762407904,0.02426052973221477,0.7984988964126822,0.8408137165023246,0.6199471907973856,0.001336482140129123,0.6186342592592593,0.6213060400749604,0.49486994032451337,0.08685424432655432,0.3947990543735225,0.5506519558676028,,,,,,,,,,,,,,,,
locked_hybrid,test,fixed_canonical_extension_no_new_search,0.9164553887261079,0.0057045839390977,0.9080143922027054,0.9205847970972688,0.8340512918016365,0.01731865598693072,0.8185712692869578,0.8496358421453098,0.8165101559726786,0.03445401350707426,0.771957766644908,0.8512833209997058,0.5219273950782441,0.0471957169845684,0.45796779566907275,0.5718555989882732,0.7558589434077503,0.11979482160044824,0.6100998238402818,0.8772182254196643,0.06491672865839773,0.023333138361433692,0.04458850141948413,0.09676782705066116,0.11756379286819346,0.039932546941970175,0.06566644114866638,0.16058673327345596,0.4604314978595894,0.09619221133361319,0.336625988499877,0.5705103829129411,0.12405162058022316,0.08987658922231775,0.015147637424107296,0.21133312291530754
locked_hybrid,test,original_locked_validation_selection,0.924344785356794,0.007113413710251447,0.9177458288420957,0.9318799435242678,0.8658441580924348,0.014609491786694741,0.8539430354073806,0.8821489315919523,0.8737632143467841,0.017263390176329153,0.8584137684840941,0.8924524969225924,0.5050246710168486,0.08252367438873964,0.4396984924623116,0.5977670797910478,0.9201536848492582,0.003849282689245425,0.9177215189873418,0.9245916312374133,0.04697708077143017,0.010645706304282958,0.04073236271994413,0.059269155444898206,0.09738413322654045,0.003186304173473475,0.0950955553379692,0.10102328543799155,0.4799808600411601,0.04473598751747232,0.43719497188650186,0.5264404036141577,0.004493794751193048,0.0297528360162977,-0.01625997568593507,0.03858126854311272
locked_hybrid,val,fixed_canonical_extension_no_new_search,0.7638642019196588,0.0068280522855769426,0.7582975147852503,0.7732443525191481,0.7402111049212268,0.011799301972283762,0.7278110444433811,0.7538148123289673,0.7776687306075964,0.03384775678881286,0.7368920257400194,0.8064944030632815,0.6831918164907409,0.014357593581348235,0.6699658038866801,0.69801727152888,0.5131165851243445,0.020596429655397736,0.49555318392031306,0.5406392694063927,0.057185793232718225,0.028683861921041984,0.03711663381055489,0.09965097114048412,0.00560889084478941,0.012878379732484785,-0.013032667396493669,0.015080800994479504,0.04075603948042428,0.03870808768111064,-0.016161433661061153,0.06953573678997738,0.03340383664730365,0.05930885811275862,0.00045036083554039763,0.12229413099552194
locked_hybrid,val,original_locked_validation_selection,0.7604843314050566,0.0061345012039785065,0.7554858934169278,0.7673302523995734,0.7383990722207227,0.004138157465439896,0.7342798871169711,0.7425559446226779,0.8040158046042,0.025049239613290353,0.7877377324070588,0.8328607016933821,0.6646141923553107,0.004416821676344114,0.6598996095928611,0.6686560744146033,0.49664747314471924,0.08358874313322817,0.400230348401958,0.5487136929460581,0.038527830742548126,0.011920042698134488,0.026322593155156254,0.05014058106841612,0.005606839641169,0.003462159247393176,0.002902930254843672,0.009508932012422089,0.04466700155792517,0.005747913442021808,0.03859356951790072,0.050021815155343985,0.0017775328202058553,0.0036851700940746905,-0.0019382629215447533,0.005431294028435507
locked_hybrid_bn_shuffled_stream,test_shuffle_bn_order,fixed_canonical_extension_no_new_search,0.9000933671378037,0.01046981610771602,0.8917700283896826,0.9146791358605717,0.7778143777265119,0.041711882694551373,0.7380621822877982,0.8366169837754374,0.7799499147446354,0.04184527979196102,0.7201066264067133,0.8158758141645782,0.34137983726810284,0.12514634933874325,0.1554045390434671,0.41999761364992244,0.6590222751315475,0.20569553368788704,0.40217761143246,0.8587033958679648,0.048046121847910246,0.02841360690808412,0.02123912614431675,0.08673275744280314,0.06132687879306875,0.047751907861926304,0.015067420616919347,0.12017782707065905,0.2798839400494481,0.11135509090809088,0.1542565981624225,0.3786395438941878,0.027214952304020337,0.13464517741888923,-0.10571111322610316,0.21482705817474246
