seed,threshold_source,uncertainty_threshold,recon_rescue_threshold,de_keep_threshold,policy,tta_method,de_delta_limit
42,original_locked_validation_selection,0.5,0.5,0.0,recon_guarded,bn_adapt,0.05
43,original_locked_validation_selection,0.5,0.4,0.0,recon_guarded,bn_adapt,0.05
44,original_locked_validation_selection,0.5,0.5,0.0,recon_guarded,bn_adapt,0.05
45,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,recon_guarded,bn_adapt,0.05
46,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,recon_guarded,bn_adapt,0.05
47,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,recon_guarded,bn_adapt,0.05
48,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,recon_guarded,bn_adapt,0.05
