seed,target_stage,method,point_type,precision,recall,average_precision
42,Reconnaissance,frozen,curve,0.08884300657365377,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.08899026763990267,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.08913801769965424,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.0892862591925788,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.08943499457460304,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.08958422631804544,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.08973395691175343,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.08988418886124167,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09003492468883179,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09018616693379361,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09033791815248769,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09049018091850936,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09064295782283421,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09079625147396513,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.0909500644980806,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09110439953918485,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09125925925925926,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.0914146463384154,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09157199636966795,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09172845118109002,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09188544152744631,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09204441788039888,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09220249255542076,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09236111111111112,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09252027635926705,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09267999113110133,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09284025827741024,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09300108066874324,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09316246119557431,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.0933244027684751,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09348690831829001,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.0936499807963129,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09381362317446576,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09397783844547937,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09414414414414414,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09430951958872541,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.0944754770591844,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09464201963352901,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.0948091504115093,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.0949768725148097,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09514518908724352,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09531410329494927,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09548361832658922,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09565373739355007,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09582446373014573,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09599580059382228,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09616775126536514,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09634031904910854,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09651350727314707,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09668731928954977,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09686336174791028,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09703843730308759,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09721414688439624,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09739049394221808,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09756748195201653,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09774511441456489,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09792339485617711,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.0981023268289412,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.0982819139109551,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09846215970656527,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09864306784660767,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09882464198865172,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09900688581724669,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.099189803044171,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09937339740868413,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09955767267778155,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09974263264645225,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.09992828113793928,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10011462200400321,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10030165912518854,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10048939641109299,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10067956989247312,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10086872586872588,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1010585939523719,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1012491781722551,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10144048258766836,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10163251128864188,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10182704019488428,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10202053660152369,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10221476978970168,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10240974397564007,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10260546340779185,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10280193236714975,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10299915516755843,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10319713615603011,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10339770659222221,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10359722418920833,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10379751325848277,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10399857828327706,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10420042378162782,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10440305430671519,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1046064744472052,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10481068882759609,1.0,0.4012734738777736
