seed,split,from_stage,to_stage,true_stage,count,fraction_of_rows,fraction_of_overrides
42,test_shuffle_bn_order,Lateral Movement,Lateral Movement,Benign,12,0.00018217978108062973,0.0044943820224719105
42,test_shuffle_bn_order,Lateral Movement,Lateral Movement,Lateral Movement,2,3.036329684677162e-05,0.000749063670411985
42,test_shuffle_bn_order,Lateral Movement,Data Exfiltration,Benign,2,3.036329684677162e-05,0.000749063670411985
42,test_shuffle_bn_order,Lateral Movement,Data Exfiltration,Lateral Movement,1,1.518164842338581e-05,0.0003745318352059925
43,test,Benign,Benign,Benign,54,0.0008198090148628338,0.02012672381662318
43,test,Benign,Benign,Reconnaissance,3,4.554494527015743e-05,0.0011181513231457323
43,test,Benign,Benign,Data Exfiltration,9,0.0001366348358104723,0.003354453969437197
43,test,Benign,Reconnaissance,Benign,381,0.005784208049309994,0.14200521803950802
43,test,Benign,Reconnaissance,Reconnaissance,2032,0.03084910959631997,0.7573611628773761
43,test,Benign,Reconnaissance,Lateral Movement,1,1.518164842338581e-05,0.0003727171077152441
43,test,Benign,Reconnaissance,Data Exfiltration,1,1.518164842338581e-05,0.0003727171077152441
43,test,Benign,Establish Foothold,Benign,6,9.108989054031487e-05,0.0022363026462914647
43,test,Benign,Lateral Movement,Benign,9,0.0001366348358104723,0.003354453969437197
43,test,Benign,Data Exfiltration,Benign,32,0.00048581274954834593,0.011926947446887812
43,test,Benign,Data Exfiltration,Establish Foothold,1,1.518164842338581e-05,0.0003727171077152441
43,test,Benign,Data Exfiltration,Data Exfiltration,4,6.072659369354324e-05,0.0014908684308609765
43,test,Reconnaissance,Benign,Benign,6,9.108989054031487e-05,0.0022363026462914647
43,test,Reconnaissance,Reconnaissance,Benign,29,0.00044026780427818853,0.01080879612374208
43,test,Reconnaissance,Reconnaissance,Lateral Movement,1,1.518164842338581e-05,0.0003727171077152441
43,test,Reconnaissance,Data Exfiltration,Benign,40,0.0006072659369354324,0.014908684308609765
43,test,Establish Foothold,Benign,Benign,9,0.0001366348358104723,0.003354453969437197
43,test,Establish Foothold,Benign,Establish Foothold,1,1.518164842338581e-05,0.0003727171077152441
43,test,Establish Foothold,Benign,Data Exfiltration,1,1.518164842338581e-05,0.0003727171077152441
43,test,Establish Foothold,Establish Foothold,Benign,6,9.108989054031487e-05,0.0022363026462914647
43,test,Establish Foothold,Establish Foothold,Establish Foothold,1,1.518164842338581e-05,0.0003727171077152441
43,test,Establish Foothold,Lateral Movement,Benign,1,1.518164842338581e-05,0.0003727171077152441
43,test,Establish Foothold,Data Exfiltration,Benign,6,9.108989054031487e-05,0.0022363026462914647
43,test,Establish Foothold,Data Exfiltration,Establish Foothold,3,4.554494527015743e-05,0.0011181513231457323
43,test,Establish Foothold,Data Exfiltration,Data Exfiltration,1,1.518164842338581e-05,0.0003727171077152441
43,test,Lateral Movement,Benign,Benign,15,0.00022772472635078716,0.005590756615728662
43,test,Lateral Movement,Reconnaissance,Benign,1,1.518164842338581e-05,0.0003727171077152441
43,test,Lateral Movement,Reconnaissance,Reconnaissance,1,1.518164842338581e-05,0.0003727171077152441
43,test,Lateral Movement,Reconnaissance,Lateral Movement,11,0.00016699813265724393,0.004099888184867686
43,test,Lateral Movement,Lateral Movement,Benign,14,0.00021254307792740136,0.005218039508013418
43,test,Lateral Movement,Data Exfiltration,Benign,3,4.554494527015743e-05,0.0011181513231457323
43,test_shuffle_bn_order,Benign,Benign,Benign,39,0.0005920842885120466,0.025177533892834086
43,test_shuffle_bn_order,Benign,Benign,Reconnaissance,36,0.0005465393432418892,0.023240800516462233
43,test_shuffle_bn_order,Benign,Benign,Data Exfiltration,2,3.036329684677162e-05,0.0012911555842479018
43,test_shuffle_bn_order,Benign,Reconnaissance,Benign,343,0.005207305409221334,0.22143318269851517
43,test_shuffle_bn_order,Benign,Reconnaissance,Reconnaissance,920,0.013967116549514946,0.5939315687540349
43,test_shuffle_bn_order,Benign,Reconnaissance,Data Exfiltration,1,1.518164842338581e-05,0.0006455777921239509
43,test_shuffle_bn_order,Benign,Establish Foothold,Benign,3,4.554494527015743e-05,0.001936733376371853
43,test_shuffle_bn_order,Benign,Lateral Movement,Benign,18,0.0002732696716209446,0.011620400258231117
43,test_shuffle_bn_order,Benign,Data Exfiltration,Benign,29,0.00044026780427818853,0.01872175597159458
43,test_shuffle_bn_order,Benign,Data Exfiltration,Establish Foothold,1,1.518164842338581e-05,0.0006455777921239509
43,test_shuffle_bn_order,Benign,Data Exfiltration,Data Exfiltration,11,0.00016699813265724393,0.0071013557133634605
43,test_shuffle_bn_order,Reconnaissance,Benign,Benign,1,1.518164842338581e-05,0.0006455777921239509
43,test_shuffle_bn_order,Reconnaissance,Reconnaissance,Benign,71,0.0010778970380603927,0.045836023240800515
43,test_shuffle_bn_order,Reconnaissance,Reconnaissance,Lateral Movement,1,1.518164842338581e-05,0.0006455777921239509
43,test_shuffle_bn_order,Reconnaissance,Data Exfiltration,Benign,3,4.554494527015743e-05,0.001936733376371853
43,test_shuffle_bn_order,Establish Foothold,Benign,Benign,7,0.00010627153896370068,0.004519044544867657
43,test_shuffle_bn_order,Establish Foothold,Establish Foothold,Benign,6,9.108989054031487e-05,0.003873466752743706
43,test_shuffle_bn_order,Establish Foothold,Lateral Movement,Benign,2,3.036329684677162e-05,0.0012911555842479018
43,test_shuffle_bn_order,Establish Foothold,Lateral Movement,Data Exfiltration,1,1.518164842338581e-05,0.0006455777921239509
43,test_shuffle_bn_order,Establish Foothold,Data Exfiltration,Benign,7,0.00010627153896370068,0.004519044544867657
43,test_shuffle_bn_order,Establish Foothold,Data Exfiltration,Establish Foothold,5,7.590824211692905e-05,0.0032278889606197547
43,test_shuffle_bn_order,Establish Foothold,Data Exfiltration,Data Exfiltration,1,1.518164842338581e-05,0.0006455777921239509
