dataset,split,feature,train_mean,split_mean,train_std,split_std,abs_standardized_mean_shift,abs_log_std_ratio
Unraveled,val,src_port,-0.12158602476119995,-0.08723703026771545,0.5856791138648987,0.5553275346755981,0.05864814668893814,0.053213976323604584
Unraveled,val,dst_port,0.8074862957000732,4.396645545959473,9.84565258026123,12.792482376098633,0.36454254388809204,0.2618277668952942
Unraveled,val,protocol,-0.4900011718273163,-0.8101186156272888,0.6296598315238953,0.3930132985115051,0.5083974599838257,0.4713362455368042
Unraveled,val,ip_version,0.003873487701639533,0.0010341595625504851,0.08793163299560547,0.045467011630535126,0.032290179282426834,0.6595725417137146
Unraveled,val,tunnel_id,2.92461318167625e-05,0.0,0.009366831742227077,0.0,0.003122307825833559,22.26729393005371
Unraveled,val,bidirectional_duration_ms,0.4092990756034851,0.26424640417099,1.4595931768417358,0.9127280116081238,0.09937883913516998,0.4694751501083374
Unraveled,val,bidirectional_packets,0.8036671876907349,0.5747601389884949,12.922216415405273,8.863736152648926,0.017714224755764008,0.37697967886924744
Unraveled,val,bidirectional_bytes,3.306398391723633,1.4692903757095337,128.24017333984375,47.922279357910156,0.014325526542961597,0.9843243360519409
Unraveled,val,src2dst_duration_ms,0.40913933515548706,0.26454877853393555,1.4600476026535034,0.9128855466842651,0.09903139621019363,0.46961385011672974
Unraveled,val,src2dst_packets,0.5975785255432129,0.4158041179180145,7.218321323394775,5.564783096313477,0.025182366371154785,0.2601644694805145
Unraveled,val,src2dst_bytes,4.998575687408447,0.6200151443481445,580.2002563476562,27.969690322875977,0.007546636741608381,3.0322518348693848
Unraveled,val,dst2src_duration_ms,0.3587140142917633,0.24714650213718414,1.1990946531295776,0.7110166549682617,0.09304312616586685,0.5226262211799622
Unraveled,val,dst2src_packets,0.9243314266204834,0.6460473537445068,19.52326011657715,13.092790603637695,0.014253975823521614,0.3995448648929596
Unraveled,val,dst2src_bytes,3.1022918224334717,1.8318678140640259,46.64790725708008,65.67402648925781,0.02723431959748268,0.3420754373073578
Unraveled,val,bidirectional_min_ps,0.44966015219688416,0.0027512351516634226,3.978513717651367,0.5129011273384094,0.11233062297105789,2.0485806465148926
Unraveled,val,bidirectional_mean_ps,0.3699412941932678,0.21478791534900665,1.4635003805160522,0.9120839238166809,0.10601526498794556,0.4728543162345886
Unraveled,val,bidirectional_stddev_ps,0.33458343148231506,0.2525332570075989,0.9985558390617371,0.6994213461875916,0.08216883987188339,0.35605672001838684
Unraveled,val,bidirectional_max_ps,0.38811516761779785,0.2697385847568512,1.03873872756958,0.7060062289237976,0.1139618456363678,0.3861384391784668
Unraveled,val,src2dst_min_ps,0.35046106576919556,-0.07500430196523666,3.9775545597076416,0.5024195313453674,0.10696657001972198,2.0689871311187744
Unraveled,val,src2dst_mean_ps,0.30082738399505615,0.10683314502239227,2.4700543880462646,0.8812514543533325,0.0785384476184845,1.030652403831482
Unraveled,val,src2dst_stddev_ps,0.40263181924819946,0.3826054334640503,1.1451596021652222,0.6523743271827698,0.01748785562813282,0.562680721282959
Unraveled,val,src2dst_max_ps,0.2685571312904358,0.17391179502010345,1.4007576704025269,0.6498435139656067,0.06756724417209625,0.7680370211601257
Unraveled,val,dst2src_min_ps,0.0904586911201477,0.04242696240544319,0.3604656457901001,0.23716890811920166,0.13324911892414093,0.4186241030693054
Unraveled,val,dst2src_mean_ps,0.3082602620124817,0.23033052682876587,1.4220508337020874,0.9459601640701294,0.05480094999074936,0.40765491127967834
Unraveled,val,dst2src_stddev_ps,0.36064696311950684,0.3024568259716034,0.8745681643486023,0.6583173871040344,0.06653585284948349,0.2840430438518524
Unraveled,val,dst2src_max_ps,0.3740619719028473,0.2685401439666748,1.0206090211868286,0.7063157558441162,0.10339103639125824,0.36809244751930237
Unraveled,val,bidirectional_min_piat_ms,2.0179808139801025,0.33649444580078125,17.573101043701172,8.615582466125488,0.09568523615598679,0.7127969264984131
Unraveled,val,bidirectional_mean_piat_ms,0.3370710611343384,0.21330447494983673,0.9457729458808899,0.5796515941619873,0.13086289167404175,0.4895753264427185
Unraveled,val,bidirectional_stddev_piat_ms,0.31234458088874817,0.2517551779747009,0.586624026298523,0.4335494935512543,0.10328489542007446,0.3023781180381775
Unraveled,val,bidirectional_max_piat_ms,0.21550540626049042,0.15403607487678528,0.39730268716812134,0.2857001721858978,0.1547166258096695,0.3297555148601532
Unraveled,val,src2dst_min_piat_ms,4.23892879486084,1.2346446514129639,40.363162994384766,26.685710906982422,0.07443133741617203,0.4137893617153168
Unraveled,val,src2dst_mean_piat_ms,0.37544113397598267,0.2780008614063263,0.9490271210670471,0.6727306842803955,0.10267385095357895,0.34409236907958984
Unraveled,val,src2dst_stddev_piat_ms,0.2976391613483429,0.24674557149410248,0.5333670973777771,0.397990882396698,0.09541943669319153,0.2927808463573456
Unraveled,val,src2dst_max_piat_ms,0.2157471477985382,0.1549617350101471,0.3972316384315491,0.2855367958545685,0.15302258729934692,0.3301486372947693
Unraveled,val,dst2src_min_piat_ms,191.66697692871094,102.85884094238281,3571.016845703125,2648.52685546875,0.024869145825505257,0.29884687066078186
Unraveled,val,dst2src_mean_piat_ms,0.36239904165267944,0.2964456081390381,0.9220451712608337,0.6878432035446167,0.07152950018644333,0.29303327202796936
Unraveled,val,dst2src_stddev_piat_ms,0.3093862533569336,0.25712278485298157,0.5828924179077148,0.42657357454299927,0.08966229110956192,0.3122178018093109
Unraveled,val,dst2src_max_piat_ms,0.2122546136379242,0.16055236756801605,0.39409977197647095,0.28483742475509644,0.13119074702262878,0.3246855139732361
Unraveled,val,bidirectional_syn_packets,0.47767871618270874,0.7203729152679443,0.5115041136741638,0.4050638675689697,0.47447165846824646,0.23331084847450256
Unraveled,val,bidirectional_cwr_packets,3.2495702271262417e-06,0.0,0.0018026534235104918,0.0,0.0018026594771072268,20.6193790435791
Unraveled,val,bidirectional_urg_packets,3.2495702271262417e-06,0.0,0.0018026534235104918,0.0,0.0018026594771072268,20.6193790435791
Unraveled,val,bidirectional_ack_packets,0.7979706525802612,0.565357506275177,13.030064582824707,8.582529067993164,0.01785203255712986,0.41753068566322327
Unraveled,val,bidirectional_psh_packets,0.6694640517234802,0.45813843607902527,9.234723091125488,4.692182540893555,0.022883806377649307,0.6770728230476379
Unraveled,val,bidirectional_rst_packets,0.2366987019777298,0.5054858922958374,0.45730435848236084,0.41375356912612915,0.5877643823623657,0.10007858276367188
Unraveled,val,bidirectional_fin_packets,0.43718579411506653,0.4080002009868622,0.49710944294929504,0.4899442493915558,0.058710597455501556,0.014518600888550282
Unraveled,val,src2dst_syn_packets,0.48985645174980164,0.8077270984649658,0.5528591275215149,0.4177713692188263,0.5749577879905701,0.28016889095306396
Unraveled,val,src2dst_cwr_packets,3.2495702271262417e-06,0.0,0.0018026534235104918,0.0,0.0018026594771072268,20.6193790435791
Unraveled,val,src2dst_urg_packets,3.2495702271262417e-06,0.0,0.0018026534235104918,0.0,0.0018026594771072268,20.6193790435791
Unraveled,val,src2dst_ack_packets,0.674923837184906,0.5006756782531738,7.193912506103516,5.528798580169678,0.02422161214053631,0.26326465606689453
Unraveled,val,src2dst_psh_packets,0.6502394080162048,0.4278087913990021,15.583106994628906,2.646230936050415,0.014273829758167267,1.7730510234832764
Unraveled,val,src2dst_rst_packets,0.1691645085811615,0.39421677589416504,0.3854734003543854,0.43592512607574463,0.5838334560394287,0.12299831211566925
Unraveled,val,src2dst_fin_packets,0.4330669641494751,0.40278899669647217,0.5086641311645508,0.49885430932044983,0.05952448025345802,0.019473830237984657
Unraveled,val,dst2src_syn_packets,0.46550095081329346,0.6330187916755676,0.5056989789009094,0.48345422744750977,0.33125999569892883,0.044984929263591766
Unraveled,val,dst2src_ack_packets,0.9333220720291138,0.6365074515342712,20.05355453491211,12.586837768554688,0.01480109803378582,0.46575480699539185
