study,contrast,condition,budget,rows,metric,baseline_mean,candidate_mean,delta_mean,seed_count
PX081,harm_minus_entropy,clean,3,208094,attack_to_benign_count,582.3333333333334,888.6666666666666,306.33333333333326,3
PX081,harm_minus_entropy,clean,3,208094,wrong_attack_stage_count,925.0,624.0,-301.0,3
PX081,harm_minus_entropy,clean,3,208094,OtherAttackStage.exact_stage_recall,0.9702725906846963,0.9700311225584889,-0.00024146812620740032,3
PX081,harm_minus_entropy,clean,3,208094,OtherAttackStage.warning_recall,0.9951438076840523,0.9951169778922515,-2.6829791800797587e-05,3
PX081,harm_minus_entropy,clean,3,208094,OtherAttackStage.attack_to_benign_count,60.333333333333336,60.666666666666664,0.3333333333333286,3
PX081,harm_minus_entropy,clean,3,208094,OtherAttackStage.wrong_attack_stage_count,309.0,311.6666666666667,2.6666666666666856,3
PX081,harm_minus_entropy,clean,3,208094,OtherAttackStage.stage_f1,0.984844949347823,0.9846399899876136,-0.0002049593602093669,3
PX081,harm_minus_entropy,clean,3,208094,LateralMovement.exact_stage_recall,0.6571428571428571,0.6952380952380951,0.03809523809523796,3
PX081,harm_minus_entropy,clean,3,208094,LateralMovement.warning_recall,0.6571428571428571,0.6952380952380951,0.03809523809523796,3
PX081,harm_minus_entropy,clean,3,208094,LateralMovement.attack_to_benign_count,12.0,10.666666666666666,-1.333333333333334,3
PX081,harm_minus_entropy,clean,3,208094,LateralMovement.wrong_attack_stage_count,0.0,0.0,0.0,3
PX081,harm_minus_entropy,clean,3,208094,LateralMovement.stage_f1,0.11293478533409218,0.20829676104590056,0.09536197571180838,3
PX081,harm_minus_entropy,clean,3,208094,DataExfiltration.exact_stage_recall,0.6728646135967461,0.6717993414681387,-0.0010652721286074085,3
PX081,harm_minus_entropy,clean,3,208094,DataExfiltration.warning_recall,0.851830331202789,0.7625411582413326,-0.08928917296145633,3
PX081,harm_minus_entropy,clean,3,208094,DataExfiltration.attack_to_benign_count,510.0,817.3333333333334,307.33333333333337,3
PX081,harm_minus_entropy,clean,3,208094,DataExfiltration.wrong_attack_stage_count,616.0,312.3333333333333,-303.6666666666667,3
PX081,harm_minus_entropy,clean,3,208094,DataExfiltration.stage_f1,0.7632228863499543,0.7614753883727335,-0.0017474979772207355,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,macro_f1,0.7167504242409214,0.7509006520311762,0.034150227790254783,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,benign_false_alert_rate,0.0008827931645099805,0.0008723869582485661,-1.0406206261414437e-05,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,benign_false_alert_count,169.66666666666666,167.66666666666666,-2.0,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,attack_to_benign_count,682.6666666666666,1157.0,474.33333333333337,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,wrong_attack_stage_count,841.6666666666666,366.0,-475.66666666666663,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,OtherAttackStage.exact_stage_recall,0.9678310796308219,0.9679383987980253,0.00010731916720341239,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,OtherAttackStage.warning_recall,0.9967267654003006,0.9968072547757029,8.048937540228174e-05,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,OtherAttackStage.attack_to_benign_count,40.666666666666664,39.666666666666664,-1.0,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,OtherAttackStage.wrong_attack_stage_count,359.0,358.6666666666667,-0.3333333333333144,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,OtherAttackStage.stage_f1,0.9833978376107427,0.9834800475859596,8.220997521690698e-05,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,LateralMovement.exact_stage_recall,0.8095238095238096,0.8095238095238094,-2.220446049250313e-16,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,LateralMovement.warning_recall,0.8095238095238096,0.8095238095238094,-2.220446049250313e-16,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,LateralMovement.attack_to_benign_count,6.666666666666667,6.666666666666667,0.0,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,LateralMovement.wrong_attack_stage_count,0.0,0.0,0.0,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,LateralMovement.stage_f1,0.12942987823495014,0.26717202179679206,0.13774214356184192,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,DataExfiltration.exact_stage_recall,0.6751888436955259,0.6751888436955259,0.0,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,DataExfiltration.warning_recall,0.8154173929885725,0.6773193879527407,-0.1380980050358318,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,DataExfiltration.attack_to_benign_count,635.3333333333334,1110.6666666666667,475.33333333333337,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,DataExfiltration.wrong_attack_stage_count,482.6666666666667,7.333333333333333,-475.33333333333337,3
PX081,harm_minus_entropy,delayed_unavailable,1,208094,DataExfiltration.stage_f1,0.7563876671338873,0.7563878803542626,2.1322037535576044e-07,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,macro_f1,0.7187261140871194,0.7543892393353611,0.03566312524824167,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,benign_false_alert_rate,0.0007457781154013588,0.0007509812185320658,5.203103130706948e-06,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,benign_false_alert_count,143.33333333333334,144.33333333333334,1.0,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,attack_to_benign_count,695.6666666666666,1175.6666666666667,480.0000000000001,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,wrong_attack_stage_count,820.6666666666666,343.6666666666667,-476.99999999999994,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,OtherAttackStage.exact_stage_recall,0.9688237819274522,0.9686896329684482,-0.00013414895900398793,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,OtherAttackStage.warning_recall,0.9961901695642843,0.9962438291478858,5.365958360148415e-05,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,OtherAttackStage.attack_to_benign_count,47.333333333333336,46.666666666666664,-0.6666666666666714,3
