configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,seed,rows,macro_f1,stage_weighted_error,normal_false_attacks,movement_any_attack_recall,negative_support,negative_flags,negative_flag_rate,negative_definition,movement_support,movement_exact_recall,movement_warning_recall,movement_f1,movement_missed_warning_count,exfiltration_support,exfiltration_exact_recall,exfiltration_warning_recall,exfiltration_f1,exfiltration_missed_warning_count,context_selected_fraction,selected_context_harm_count,selected_context_help_count,policy,n,errors,weighted_error_total,benign_false_alerts,movement_missed,exfiltration_missed,movement_as_exfiltration,mean_spend,mean_elapsed,query_rate,mean_queries,mean_delivered,seconds,normal_false_attack_rate,test_rows_with_current_fingerprint_in_training,training_rows_ending_after_first_test_start,chronological_all_fit_before_test,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error
PX080-0011,PX080,UNRAVELED,missing_half,,ordinary_gate,,False,20260924,,11,px080_context_selector/results/METRICS.json,20260924,208094,0.7589170833675062,0.023921881457418283,39,0.37142857142857144,192193,39,0.000202921022097579,Author benign flow labels,35,0.37142857142857144,0.37142857142857144,0.29213483146067415,22,3442,0.6748983149331784,0.6766414875072633,0.7621391076115486,1113,0.0013311292012263688,18,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0012,PX080,UNRAVELED,missing_half,,stage_harm_gate,,False,20260924,,12,px080_context_selector/results/METRICS.json,20260924,208094,0.7577436782121172,0.024287101021653677,64,0.4857142857142857,192193,64,0.0003329986003652578,Author benign flow labels,35,0.4857142857142857,0.48571428571428577,0.288135593220339,18,3442,0.6699593259732713,0.6717024985473562,0.7615587846763541,1130,0.003282170557536498,31,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0013,PX080,UNRAVELED,missing_half,,context_dropout,,False,20260924,,13,px080_context_selector/results/METRICS.json,20260924,208094,0.7705891902357125,0.023955520101492593,82,0.6285714285714286,192193,82,0.0004266544567179866,Author benign flow labels,35,0.6285714285714286,0.6285714285714286,0.34108527131782945,13,3442,0.674607786170831,0.6778036025566532,0.7598167539267016,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0014,PX080,UNRAVELED,missing_all,,current_roles,,False,20260924,,14,px080_context_selector/results/METRICS.json,20260924,208094,0.7589663259346022,0.024099685718953934,117,0.7428571428571429,192193,117,0.0006087630662927369,Author benign flow labels,35,0.7428571428571429,0.7428571428571429,0.29545454545454547,9,3442,0.6751888436955259,0.6751888436955258,0.7597254004576659,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0015,PX080,UNRAVELED,missing_all,,context,,False,20260924,,15,px080_context_selector/results/METRICS.json,20260924,208094,0.43423787712992634,0.0824050669409017,0,0.0,192193,0,0.0,Author benign flow labels,35,0.0,0.0,0.0,35,3442,0.6670540383497966,0.6670540383497967,0.7705990938076859,1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0016,PX080,UNRAVELED,missing_all,,fixed_fusion,,False,20260924,,16,px080_context_selector/results/METRICS.json,20260924,208094,0.7188530056165974,0.024498543927263642,22,0.11428571428571428,192193,22,0.00011446826887555739,Author benign flow labels,35,0.11428571428571428,0.11428571428571432,0.13114754098360656,31,3442,0.6725740848343986,0.6725740848343986,0.7659222497932175,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0017,PX080,UNRAVELED,missing_all,,confidence_gate,,False,20260924,,17,px080_context_selector/results/METRICS.json,20260924,208094,0.7187137330404637,0.024801291723932455,22,0.11428571428571428,192193,22,0.00011446826887555739,Author benign flow labels,35,0.11428571428571428,0.11428571428571432,0.13114754098360656,31,3442,0.6725740848343986,0.6725740848343986,0.7682097229135557,1127,0.8188414850980806,148,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0018,PX080,UNRAVELED,missing_all,,ordinary_gate,,False,20260924,,18,px080_context_selector/results/METRICS.json,20260924,208094,0.7276556724036708,0.024061241554297577,21,0.14285714285714285,192193,21,0.00010926516574485022,Author benign flow labels,35,0.14285714285714285,0.1428571428571429,0.1694915254237288,30,3442,0.6748983149331784,0.6748983149331784,0.7602683685157912,1119,0.0009370765134987073,22,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0019,PX080,UNRAVELED,missing_all,,stage_harm_gate,,False,20260924,,19,px080_context_selector/results/METRICS.json,20260924,208094,0.7395438135554446,0.024484127365517507,33,0.22857142857142856,192193,33,0.00017170240331333607,Author benign flow labels,35,0.22857142857142856,0.22857142857142854,0.21621621621621623,27,3442,0.668506682161534,0.668506682161534,0.7612903225806451,1141,0.002907339952137015,41,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0020,PX080,UNRAVELED,missing_all,,context_dropout,,False,20260924,,20,px080_context_selector/results/METRICS.json,20260924,208094,0.767057027010412,0.02404682499255144,105,0.6857142857142857,192193,105,0.0005463258287242512,Author benign flow labels,35,0.6857142857142857,0.6857142857142857,0.3287671232876712,11,3442,0.6751888436955259,0.6766414875072633,0.758609433654317,1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0021,PX080,UNRAVELED,stale_5min,,current_roles,,False,20260924,,21,px080_context_selector/results/METRICS.json,20260924,208094,0.7589663259346022,0.024099685718953934,117,0.7428571428571429,192193,117,0.0006087630662927369,Author benign flow labels,35,0.7428571428571429,0.7428571428571429,0.29545454545454547,9,3442,0.6751888436955259,0.6751888436955258,0.7597254004576659,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
