configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,class,support,predicted_count,true_positive_count,precision,exact_recall,f1,average_precision,roc_auc,ranking_metric_status,recall_supported,warning_recall,missed_warning_count,wrong_attack_stage_count,target_false_negative_count,warning_scope
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,OtherAttackStage,12424,12064,12061,0.999751326259947,0.9707823567289118,0.9850539039529566,0.9906357256278124,0.9985739248533058,source reported; blank if unsupported,True,0.9966999356084997,41,322,,Any non-benign predicted label
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,LateralMovement,35,77,19,0.24675324675324675,0.5428571428571428,0.3392857142857143,0.15549648635834076,0.9976949532859154,source reported; blank if unsupported,True,0.5428571428571429,16,0,,Any non-benign predicted label
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,DataExfiltration,3442,2645,2323,0.8782608695652174,0.6748983149331784,0.7632659766715952,0.6886768892642061,0.9711713610848047,source reported; blank if unsupported,True,0.6769320162696106,1112,7,,Any non-benign predicted label
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,Benign,192193,193278,192098,0.9938948043750453,0.9995057052025829,0.9966923581799928,0.9999757004098451,0.9997294839569808,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,OtherAttackStage,12424,12065,12062,0.9997513468711148,0.9708628461043143,0.9850953489321737,0.9905500258315268,0.998566488008527,source reported; blank if unsupported,True,0.996216999356085,47,315,,Any non-benign predicted label
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,LateralMovement,35,121,21,0.17355371900826447,0.6,0.2692307692307692,0.18067152080137378,0.997978801342751,source reported; blank if unsupported,True,0.6,14,0,,Any non-benign predicted label
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,DataExfiltration,3442,2630,2314,0.8798479087452471,0.6722835560720511,0.7621870882740448,0.6877731311410038,0.9709167743469923,source reported; blank if unsupported,True,0.6748983149331784,1119,9,,Any non-benign predicted label
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,Benign,192193,193297,192130,0.9939626584996146,0.9996722045027655,0.996809255752419,0.9999874348866473,0.9998518876043874,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,OtherAttackStage,12424,12075,12065,0.9991718426501035,0.9711043142305216,0.9849381607412547,0.9956362707105613,0.9996090101173339,source reported; blank if unsupported,True,0.9970218931101095,37,322,,Any non-benign predicted label
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,LateralMovement,35,67,16,0.23880597014925373,0.45714285714285713,0.3137254901960784,0.15481420332679405,0.9981220299461759,source reported; blank if unsupported,True,0.4571428571428572,19,0,,Any non-benign predicted label
