configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,true_class,predicted_class,count
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,OtherAttackStage,LateralMovement,0
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,OtherAttackStage,DataExfiltration,317
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,LateralMovement,Benign,18
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,LateralMovement,OtherAttackStage,0
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,LateralMovement,LateralMovement,17
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,LateralMovement,DataExfiltration,0
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,DataExfiltration,Benign,1120
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,DataExfiltration,OtherAttackStage,1
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,DataExfiltration,LateralMovement,0
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,DataExfiltration,DataExfiltration,2321
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,Benign,Benign,192141
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,Benign,OtherAttackStage,0
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,Benign,LateralMovement,52
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,Benign,DataExfiltration,0
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,OtherAttackStage,Benign,50
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,OtherAttackStage,OtherAttackStage,12058
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,OtherAttackStage,LateralMovement,0
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,OtherAttackStage,DataExfiltration,316
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,LateralMovement,Benign,18
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,LateralMovement,OtherAttackStage,0
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,LateralMovement,LateralMovement,17
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,LateralMovement,DataExfiltration,0
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,DataExfiltration,Benign,1120
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,DataExfiltration,OtherAttackStage,1
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,DataExfiltration,LateralMovement,0
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,DataExfiltration,DataExfiltration,2321
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,Benign,Benign,192139
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,Benign,OtherAttackStage,2
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,Benign,LateralMovement,52
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,Benign,DataExfiltration,0
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,OtherAttackStage,Benign,41
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,OtherAttackStage,OtherAttackStage,12061
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,OtherAttackStage,LateralMovement,0
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,OtherAttackStage,DataExfiltration,322
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,LateralMovement,Benign,16
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,LateralMovement,OtherAttackStage,0
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,LateralMovement,LateralMovement,19
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,LateralMovement,DataExfiltration,0
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,DataExfiltration,Benign,1112
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,DataExfiltration,OtherAttackStage,1
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,DataExfiltration,LateralMovement,6
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,DataExfiltration,DataExfiltration,2323
