study,contrast,condition,budget,omitted_seed,metric,baseline,candidate,delta,f1_up_exfil_warning_down,f1_down_exfil_warning_up,sign_disagreement
PX081,harm_minus_entropy,clean,3,8102,benign_false_alert_rate,0.000559333586551019,0.0005749428959431405,1.5609309392121493e-05,True,False,True
PX081,harm_minus_entropy,clean,3,8102,exfil_to_benign_count,663.5,1123.0,459.5,True,False,True
PX081,harm_minus_entropy,clean,3,8102,benign_false_alert_count,107.5,110.5,3.0,True,False,True
PX081,harm_minus_entropy,clean,3,8103,macro_f1,0.6984986750973151,0.7263263781125442,0.02782770301522902,True,False,True
PX081,harm_minus_entropy,clean,3,8103,exfil_warning_recall,0.938262638001162,0.8075246949447996,-0.13073794305636255,True,False,True
PX081,harm_minus_entropy,clean,3,8103,movement_exact_recall,0.7428571428571429,0.7857142857142857,0.04285714285714287,True,False,True
PX081,harm_minus_entropy,clean,3,8103,benign_false_alert_rate,0.0006946142679494049,0.0007778639180407196,8.324965009131452e-05,True,False,True
PX081,harm_minus_entropy,clean,3,8103,exfil_to_benign_count,212.5,662.5,450.0,True,False,True
PX081,harm_minus_entropy,clean,3,8103,benign_false_alert_count,133.5,149.5,16.0,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8101,macro_f1,0.7254295883782502,0.7509951833495572,0.02556559497130695,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8101,exfil_warning_recall,0.7800697269029635,0.6764962231260895,-0.10357350377687397,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8101,movement_exact_recall,0.8142857142857143,0.7714285714285715,-0.042857142857142816,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8101,benign_false_alert_rate,0.0008871290837855698,0.0008455042587399125,-4.162482504565726e-05,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8101,exfil_to_benign_count,757.0,1113.5,356.5,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8101,benign_false_alert_count,170.5,162.5,-8.0,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8102,macro_f1,0.7255237594818107,0.749595130861169,0.02407137137935833,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8102,exfil_warning_recall,0.7816676350958744,0.6780941313190006,-0.10357350377687385,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8102,movement_exact_recall,0.8285714285714285,0.8285714285714285,0.0,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8102,benign_false_alert_rate,0.0008949337384816304,0.000897535290046984,2.6015515653535822e-06,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8102,exfil_to_benign_count,751.5,1108.0,356.5,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8102,benign_false_alert_count,172.0,172.5,0.5,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8103,macro_f1,0.6992979248627034,0.7521116418828022,0.05281371702009885,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8103,exfil_warning_recall,0.8845148169668797,0.6773678094131319,-0.20714700755374782,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8103,movement_exact_recall,0.7857142857142858,0.8285714285714285,0.042857142857142816,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8103,benign_false_alert_rate,0.0008663166712627411,0.0008741213259588018,7.804654696060692e-06,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8103,exfil_to_benign_count,397.5,1110.5,713.0,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,1,8103,benign_false_alert_count,166.5,168.0,1.5,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8101,macro_f1,0.7278303183320904,0.7546959523705887,0.02686563403849823,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8101,exfil_warning_recall,0.7781812899477049,0.6746077861708308,-0.10357350377687402,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8101,movement_exact_recall,0.7428571428571429,0.7142857142857143,-0.02857142857142858,True,False,True
