configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,subgroup_type,subgroup_id,rows,macro_f1,stage_weighted_error,normal_false_attacks,movement_any_attack_recall,negative_support,negative_flags,negative_flag_rate,negative_definition,movement_support,movement_exact_recall,movement_warning_recall,movement_f1,movement_missed_warning_count,exfiltration_support,exfiltration_exact_recall,exfiltration_warning_recall,exfiltration_f1,exfiltration_missed_warning_count,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error,seed,policy,capture,n,errors,weighted_error_total,benign_false_alerts,movement_missed,exfiltration_missed,movement_as_exfiltration,mean_spend,mean_elapsed,query_rate,mean_queries,mean_delivered
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,by_capture,7,52588,0.4998161346803136,0.0013691336426561193,34,,48951,34,0.0006945721231435517,Author benign flow labels,0,0.0,,0.0,0,9,0.0,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,by_capture,8,37633,0.637809817841124,0.025031222597188638,2,0.45454545454545453,35261,2,5.67198888290179e-05,Author benign flow labels,11,0.45454545454545453,0.4545454545454546,0.5555555555555556,6,228,0.0,0.0,0.0,228,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,by_capture,9,26267,0.5729484396421345,0.04298168804964404,4,0.3333333333333333,25120,4,0.0001592356687898089,Author benign flow labels,6,0.3333333333333333,0.33333333333333337,0.3333333333333333,4,258,0.2751937984496124,0.27519379844961245,0.22015503875968992,187,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,by_capture,10,21155,0.24583093041138024,0.13122193334909005,0,,20461,0,0.0,Author benign flow labels,0,0.0,,0.0,0,694,0.0,0.0,0.0,694,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,2712,0.2632114756361294,1.6692477876106195,51,0.4857142857142857,1576,51,0.03236040609137056,Author benign flow labels,35,0.4857142857142857,0.48571428571428577,0.3300970873786408,18,1101,0.0,0.0,0.0,1101,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,by_capture,6,70451,0.8779748805038223,0.0007806844473463826,11,0.5555555555555556,62400,11,0.0001762820512820513,Author benign flow labels,18,0.5555555555555556,0.5555555555555556,0.5128205128205128,8,2253,0.9986684420772304,0.9991122947181535,0.9993337774816788,2,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,by_capture,7,52588,0.49981357930589,0.0013881493876930098,35,,48951,35,0.000715000715000715,Author benign flow labels,0,0.0,,0.0,0,9,0.0,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,by_capture,8,37633,0.637809817841124,0.025031222597188638,2,0.45454545454545453,35261,2,5.67198888290179e-05,Author benign flow labels,11,0.45454545454545453,0.4545454545454546,0.5555555555555556,6,228,0.0,0.0,0.0,228,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,by_capture,9,26267,0.5732573991986829,0.042943617466783414,4,0.3333333333333333,25120,4,0.0001592356687898089,Author benign flow labels,6,0.3333333333333333,0.33333333333333337,0.3333333333333333,4,258,0.2751937984496124,0.27519379844961245,0.2204968944099379,187,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,by_capture,10,21155,0.24583093041138024,0.13122193334909005,0,,20461,0,0.0,Author benign flow labels,0,0.0,,0.0,0,694,0.0,0.0,0.0,694,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,2712,0.262342288548143,1.6696165191740413,52,0.4857142857142857,1576,52,0.03299492385786802,Author benign flow labels,35,0.4857142857142857,0.48571428571428577,0.3269230769230769,18,1101,0.0,0.0,0.0,1101,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,by_capture,6,70451,0.8945126043564224,0.0006955188712722318,9,0.6111111111111112,62400,9,0.00014423076923076924,Author benign flow labels,18,0.6111111111111112,0.6111111111111112,0.5789473684210527,7,2253,0.9986684420772304,0.9991122947181535,0.9993337774816788,2,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,by_capture,7,52588,0.49981104042490576,0.0014071651327299004,37,,48951,37,0.0007558578987150416,Author benign flow labels,0,0.0,,0.0,0,9,0.0,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,by_capture,8,37633,0.6179721318452207,0.025057795020327903,4,0.45454545454545453,35261,4,0.0001134397776580358,Author benign flow labels,11,0.45454545454545453,0.4545454545454546,0.47619047619047616,6,228,0.0,0.00877192982456143,0.0,226,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,by_capture,9,26267,0.6064385373434129,0.04244869988959531,4,0.5,25120,4,0.0001592356687898089,Author benign flow labels,6,0.5,0.5,0.46153846153846156,3,258,0.28294573643410853,0.2829457364341085,0.22392638036809817,185,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,by_capture,10,21155,0.24585456118427376,0.13122193334909005,0,,20461,0,0.0,Author benign flow labels,0,0.0,,0.0,0,694,0.0,0.0057636887608069065,0.0,690,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,2712,0.26577607117413576,1.6666666666666667,52,0.5428571428571428,1576,52,0.03299492385786802,Author benign flow labels,35,0.5428571428571428,0.5428571428571429,0.3392857142857143,16,1101,0.0,0.00544959128065392,0.0,1095,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,by_capture,6,70451,0.8552866815344883,0.0010787639636059105,24,0.6111111111111112,62400,24,0.0003846153846153846,Author benign flow labels,18,0.6111111111111112,0.6111111111111112,0.4230769230769231,7,2253,0.9973368841544608,0.9977807367953839,0.9984447900466563,5,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,by_capture,7,52588,0.4997701456598114,0.001711417053320149,53,,48951,53,0.0010827153684296541,Author benign flow labels,0,0.0,,0.0,0,9,0.0,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,by_capture,8,37633,0.602413683712976,0.025110939866606435,11,0.5454545454545454,35261,11,0.00031195938855959845,Author benign flow labels,11,0.5454545454545454,0.5454545454545454,0.41379310344827586,5,228,0.0,0.00877192982456143,0.0,226,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,by_capture,9,26267,0.6050709538896754,0.043324323295389655,7,0.6666666666666666,25120,7,0.0002786624203821656,Author benign flow labels,6,0.6666666666666666,0.6666666666666667,0.47058823529411764,2,258,0.2596899224806202,0.2596899224806202,0.20970266040688576,191,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,by_capture,10,21155,0.24586637827445326,0.13122193334909005,0,,20461,0,0.0,Author benign flow labels,0,0.0,,0.0,0,694,0.0,0.008645533141210415,0.0,688,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,2712,0.24537344704731312,1.6784660766961652,92,0.6,1576,92,0.0583756345177665,Author benign flow labels,35,0.6,0.6,0.2692307692307692,14,1101,0.0,0.0072661217075385975,0.0,1093,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,by_capture,6,70451,0.8858846706482201,0.000922627074136634,13,0.5,62400,13,0.00020833333333333335,Author benign flow labels,18,0.5,0.5,0.5454545454545454,9,2253,0.9982245894363071,0.9986684420772304,0.9988896291361314,3,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,by_capture,7,52588,0.49973191215973006,0.0014832281128774624,40,,48951,40,0.0008171436742865314,Author benign flow labels,0,0.0,,0.0,0,9,0.0,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,by_capture,8,37633,0.6241625323326125,0.025004650174049372,5,0.45454545454545453,35261,5,0.00014179972207254473,Author benign flow labels,11,0.45454545454545453,0.4545454545454546,0.5,6,228,0.0,0.00877192982456143,0.0,226,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,by_capture,9,26267,0.6021415931944256,0.04256291163817718,5,0.3333333333333333,25120,5,0.00019904458598726116,Author benign flow labels,6,0.3333333333333333,0.33333333333333337,0.4444444444444444,4,258,0.28294573643410853,0.2829457364341085,0.2225609756097561,185,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,by_capture,10,21155,0.24586637827445326,0.13122193334909005,0,,20461,0,0.0,Author benign flow labels,0,0.0,,0.0,0,694,0.0,0.008645533141210415,0.0,688,,,,,,,,,,,,,,,,,,,,,,,,
