configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,subgroup_type,subgroup_id,class,support,predicted_count,true_positive_count,precision,exact_recall,f1,average_precision,roc_auc,ranking_metric_status,recall_supported,warning_recall,missed_warning_count,wrong_attack_stage_count,target_false_negative_count,warning_scope
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,by_capture,10,OtherAttackStage,0,0,0,0.0,0.0,0.0,,,source reported; blank if unsupported,False,,0,0,,Any non-benign predicted label
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,by_capture,10,LateralMovement,0,0,0,0.0,0.0,0.0,,,source reported; blank if unsupported,False,,0,0,,Any non-benign predicted label
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,by_capture,10,DataExfiltration,694,0,0,0.0,0.0,0.0,0.7430406852248393,0.9882703680172036,source reported; blank if unsupported,True,0.0,694,0,,Any non-benign predicted label
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,Benign,1576,2571,1461,0.5682613768961493,0.9270304568527918,0.7046057390884977,0.957389320923056,0.9063818188317722,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,OtherAttackStage,0,0,0,0.0,0.0,0.0,,,source reported; blank if unsupported,False,,0,0,,Any non-benign predicted label
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,LateralMovement,35,141,26,0.18439716312056736,0.7428571428571429,0.29545454545454547,0.21041153631838358,0.9191418965793264,source reported; blank if unsupported,True,0.7428571428571429,9,0,,Any non-benign predicted label
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,DataExfiltration,1101,0,0,0.0,0.0,0.0,0.793778437697562,0.8494123338018427,source reported; blank if unsupported,True,0.0,1101,0,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,6,Benign,62400,62406,62393,0.999791686696792,0.9998878205128205,0.9998397512940083,0.9999995204293861,0.9999963056030624,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,6,OtherAttackStage,5780,5781,5780,0.9998270195467912,1.0,0.9999135022921892,0.9999998503111343,0.999999986623805,source reported; blank if unsupported,True,1.0,0,0,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,6,LateralMovement,18,16,9,0.5625,0.5,0.5294117647058824,0.45492643386755865,0.9995709082074848,source reported; blank if unsupported,True,0.5,9,0,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,6,DataExfiltration,2253,2248,2248,1.0,0.9977807367953839,0.9988891357476116,0.9998595673972259,0.999993257407314,source reported; blank if unsupported,True,0.9982245894363071,4,1,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,7,Benign,48951,48931,48921,0.9997956305818397,0.9993871422442852,0.9995913446803294,0.999999498947455,0.9999932653611118,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,7,OtherAttackStage,3628,3627,3627,1.0,0.9997243660418964,0.9998621640248104,1.0,1.0,source reported; blank if unsupported,True,0.9997243660418964,1,0,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,7,LateralMovement,0,30,0,0.0,0.0,0.0,,,source reported; blank if unsupported,False,,0,0,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,7,DataExfiltration,9,0,0,0.0,0.0,0.0,0.0290315970664786,0.9328544771782566,source reported; blank if unsupported,True,0.0,9,0,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,8,Benign,35261,35492,35258,0.9934069649498478,0.9999149201667564,0.9966503187144008,0.9999930643430524,0.9998969381446656,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,8,OtherAttackStage,2133,2131,2130,0.999530736743313,0.9985935302390999,0.99906191369606,0.9999931446505683,0.9999995906050461,source reported; blank if unsupported,True,0.9990623534927332,2,1,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,8,LateralMovement,11,9,5,0.5555555555555556,0.45454545454545453,0.5,0.47521716669934294,0.9968369570995694,source reported; blank if unsupported,True,0.4545454545454546,6,0,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,8,DataExfiltration,228,1,0,0.0,0.0,0.0,0.3752919261429161,0.9909488833700345,source reported; blank if unsupported,True,0.00877192982456143,226,2,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,9,Benign,25120,25375,25118,0.989871921182266,0.9999203821656051,0.9948707792850777,0.9999797153947336,0.9995540498892151,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,9,OtherAttackStage,883,516,516,1.0,0.5843714609286523,0.7376697641172266,0.9611748526479683,0.9985048678348138,source reported; blank if unsupported,True,0.9320498301245753,60,307,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,9,LateralMovement,6,3,2,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.38415316151448087,0.99880050264651,source reported; blank if unsupported,True,0.33333333333333337,4,0,,Any non-benign predicted label
