dataset,model_seed,condition,removed_fraction,mask_seed,arm,n,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,false_positives_per_10000_benign_nodes,average_precision,accuracy,predicted_positive
cadets,101,clean,0.0,,mlp,357173,13,3948,340379,12833,0.003281999495077001,0.0010119881675229644,0.0015469744749211638,0.011465844967138795,114.65844967138796,0.17021621259678502,0.9530171653512444,3961
cadets,101,clean,0.0,,gin,357173,13,3948,340379,12833,0.003281999495077001,0.0010119881675229644,0.0015469744749211638,0.011465844967138795,114.65844967138796,0.18718697573897924,0.9530171653512444,3961
cadets,101,clean,0.0,,isolation_forest,357173,5,3709,340618,12841,0.0013462574044157242,0.0003892262182780632,0.0006038647342995169,0.010771737331083534,107.71737331083534,0.16884354880633726,0.9536639107659314,3714
cadets,101,clean,0.0,,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,101,clean,0.0,,quality_gate,357173,13,3948,340379,12833,0.003281999495077001,0.0010119881675229644,0.0015469744749211638,0.011465844967138795,114.65844967138796,0.1701732232694796,0.9530171653512444,3961
cadets,101,clean,0.0,,confidence_selector,357173,13,3948,340379,12833,0.003281999495077001,0.0010119881675229644,0.0015469744749211638,0.011465844967138795,114.65844967138796,0.18323896642834936,0.9530171653512444,3961
cadets,211,clean,0.0,,mlp,357173,13,4010,340317,12833,0.003231419338801889,0.0010119881675229644,0.0015412887545201257,0.011645906362266102,116.45906362266102,0.17016210345385802,0.9528435800018479,4023
cadets,211,clean,0.0,,gin,357173,14,3952,340375,12832,0.0035300050428643467,0.001089833411178577,0.0016654770402093743,0.011477461831340557,114.77461831340557,0.1926689666583397,0.9530087660601445,3966
cadets,211,clean,0.0,,isolation_forest,357173,5,5205,339122,12841,0.0009596928982725527,0.0003892262182780632,0.0005538325210456358,0.015116444542542408,151.16444542542408,0.1688768196840732,0.9494754642708155,5210
cadets,211,clean,0.0,,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,211,clean,0.0,,quality_gate,357173,14,3952,340375,12832,0.0035300050428643467,0.001089833411178577,0.0016654770402093743,0.011477461831340557,114.77461831340557,0.16929710470788978,0.9530087660601445,3966
cadets,211,clean,0.0,,confidence_selector,357173,14,3952,340375,12832,0.0035300050428643467,0.001089833411178577,0.0016654770402093743,0.011477461831340557,114.77461831340557,0.17078878698863142,0.9530087660601445,3966
cadets,307,clean,0.0,,mlp,357173,13,3950,340377,12833,0.0032803431743628564,0.0010119881675229644,0.0015467904098994587,0.011471653399239676,114.71653399239676,0.17016208291691798,0.9530115658238445,3963
cadets,307,clean,0.0,,gin,357173,13,3941,340386,12833,0.0032878098128477492,0.0010119881675229644,0.0015476190476190477,0.011445515454785712,114.45515454785712,0.1897191680184719,0.953036763697144,3954
cadets,307,clean,0.0,,isolation_forest,357173,5,3691,340636,12841,0.0013528138528138528,0.0003892262182780632,0.0006045218232378189,0.010719461442175606,107.19461442175606,0.16876446635655265,0.9537143065125303,3696
cadets,307,clean,0.0,,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,307,clean,0.0,,quality_gate,357173,13,3942,340385,12833,0.0032869785082174463,0.0010119881675229644,0.0015475269329206596,0.011448419670836154,114.48419670836152,0.1701618903481606,0.953033963933444,3955
cadets,307,clean,0.0,,confidence_selector,357173,13,3950,340377,12833,0.0032803431743628564,0.0010119881675229644,0.0015467904098994587,0.011471653399239676,114.71653399239676,0.17016870125787353,0.9530115658238445,3963
cadets,101,drop_0.25_mask_20260920,0.25,20260920,mlp,357173,12,3208,341119,12834,0.0037267080745341614,0.0009341429238673517,0.0014938379185858335,0.00931672508981288,93.16725089812881,0.1317116768029987,0.9550861907255027,3220
cadets,101,drop_0.25_mask_20260920,0.25,20260920,gin,357173,12,3197,341130,12834,0.00373948270489249,0.0009341429238673517,0.001494861413889754,0.009284778713258036,92.84778713258036,0.1409707531013124,0.9551169881262022,3209
cadets,101,drop_0.25_mask_20260920,0.25,20260920,isolation_forest,357173,5,2764,341563,12841,0.0018057060310581437,0.0003892262182780632,0.0006404098623118795,0.008027253163417333,80.27253163417333,0.12036486406331183,0.9563096874623782,2769
cadets,101,drop_0.25_mask_20260920,0.25,20260920,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,101,drop_0.25_mask_20260920,0.25,20260920,quality_gate,357173,12,3197,341130,12834,0.00373948270489249,0.0009341429238673517,0.001494861413889754,0.009284778713258036,92.84778713258036,0.12531158049687421,0.9551169881262022,3209
cadets,101,drop_0.25_mask_20260920,0.25,20260920,confidence_selector,357173,12,3210,341117,12834,0.0037243947858473,0.0009341429238673517,0.0014936519790888724,0.009322533521913761,93.22533521913762,0.13240629673719428,0.9550805911981028,3222
cadets,211,drop_0.25_mask_20260920,0.25,20260920,mlp,357173,12,3243,341084,12834,0.003686635944700461,0.0009341429238673517,0.001490590646543693,0.009418372651578296,94.18372651578296,0.13167946296720442,0.9549881989960047,3255
cadets,211,drop_0.25_mask_20260920,0.25,20260920,gin,357173,12,3215,341112,12834,0.0037186241090796405,0.0009341429238673517,0.0014931873327941269,0.009337054602165964,93.37054602165965,0.1492115421089956,0.9550665923796031,3227
cadets,211,drop_0.25_mask_20260920,0.25,20260920,isolation_forest,357173,4,3611,340716,12842,0.0011065006915629322,0.00031138097462245055,0.0004859972055160683,0.010487124158140373,104.87124158140372,0.126249904547805,0.9539354878448258,3615
cadets,211,drop_0.25_mask_20260920,0.25,20260920,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,211,drop_0.25_mask_20260920,0.25,20260920,quality_gate,357173,12,3215,341112,12834,0.0037186241090796405,0.0009341429238673517,0.0014931873327941269,0.009337054602165964,93.37054602165965,0.12499486152847952,0.9550665923796031,3227
cadets,211,drop_0.25_mask_20260920,0.25,20260920,confidence_selector,357173,12,3225,341102,12834,0.0037071362372567192,0.0009341429238673517,0.0014922589069203507,0.009366096762670369,93.66096762670368,0.13198012497374198,0.9550385947426038,3237
cadets,307,drop_0.25_mask_20260920,0.25,20260920,mlp,357173,12,3213,341114,12834,0.0037209302325581397,0.0009341429238673517,0.0014933731566175099,0.009331246170065083,93.31246170065083,0.13169381520969634,0.9550721919070031,3225
cadets,307,drop_0.25_mask_20260920,0.25,20260920,gin,357173,12,3189,341138,12834,0.0037488284910965324,0.0009341429238673517,0.0014956066554496167,0.009261544984854514,92.61544984854514,0.14206172000322456,0.9551393862358017,3201
cadets,307,drop_0.25_mask_20260920,0.25,20260920,isolation_forest,357173,5,3288,341039,12841,0.0015183723048891589,0.0003892262182780632,0.0006196170766466323,0.009549062373848114,95.49062373848115,0.1356834337511194,0.9548426112836077,3293
cadets,307,drop_0.25_mask_20260920,0.25,20260920,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,307,drop_0.25_mask_20260920,0.25,20260920,quality_gate,357173,12,3214,341113,12834,0.0037197768133911966,0.0009341429238673517,0.0014932802389248383,0.009334150386115524,93.34150386115525,0.1252984420470669,0.9550693921433031,3226
cadets,307,drop_0.25_mask_20260920,0.25,20260920,confidence_selector,357173,12,3219,341108,12834,0.003714020427112349,0.0009341429238673517,0.0014928158238477329,0.009348671466367727,93.48671466367726,0.12530000100768995,0.9550553933248034,3231
cadets,101,drop_0.5_mask_20260920,0.5,20260920,mlp,357173,10,2184,342143,12836,0.004557885141294439,0.0007784524365561264,0.0013297872340425532,0.006342807854161887,63.428078541618866,0.10250950624326774,0.9579475492268452,2194
cadets,101,drop_0.5_mask_20260920,0.5,20260920,gin,357173,10,2165,342162,12836,0.004597701149425287,0.0007784524365561264,0.0013314692763464484,0.006287627749203519,62.876277492035186,0.10341856405171715,0.9580007447371441,2175
cadets,101,drop_0.5_mask_20260920,0.5,20260920,isolation_forest,357173,3,1820,342507,12843,0.0016456390565002743,0.00023353573096683791,0.00040902583679869114,0.005285673211801572,52.85673211801572,0.07769002585119705,0.9589470648677252,1823
cadets,101,drop_0.5_mask_20260920,0.5,20260920,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,101,drop_0.5_mask_20260920,0.5,20260920,quality_gate,357173,10,2165,342162,12836,0.004597701149425287,0.0007784524365561264,0.0013314692763464484,0.006287627749203519,62.876277492035186,0.08150076564583579,0.9580007447371441,2175
cadets,101,drop_0.5_mask_20260920,0.5,20260920,confidence_selector,357173,10,2184,342143,12836,0.004557885141294439,0.0007784524365561264,0.0013297872340425532,0.006342807854161887,63.428078541618866,0.0815750556175989,0.9579475492268452,2194
cadets,211,drop_0.5_mask_20260920,0.5,20260920,mlp,357173,11,2244,342083,12835,0.004878048780487805,0.000856297680211739,0.0014568571617773658,0.0065170608171883125,65.17060817188312,0.10237400024441394,0.9577823631685486,2255
cadets,211,drop_0.5_mask_20260920,0.5,20260920,gin,357173,11,2217,342110,12835,0.004937163375224416,0.000856297680211739,0.0014594666312856574,0.006438646983826421,64.3864698382642,0.10889762865810414,0.9578579567884471,2228
cadets,211,drop_0.5_mask_20260920,0.5,20260920,isolation_forest,357173,3,2312,342015,12843,0.0012958963282937365,0.00023353573096683791,0.0003957522590858123,0.006714547508618261,67.14547508618261,0.08205290114870398,0.9575695811273528,2315
cadets,211,drop_0.5_mask_20260920,0.5,20260920,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,211,drop_0.5_mask_20260920,0.5,20260920,quality_gate,357173,11,2217,342110,12835,0.004937163375224416,0.000856297680211739,0.0014594666312856574,0.006438646983826421,64.3864698382642,0.08168309459434066,0.9578579567884471,2228
cadets,211,drop_0.5_mask_20260920,0.5,20260920,confidence_selector,357173,11,2244,342083,12835,0.004878048780487805,0.000856297680211739,0.0014568571617773658,0.0065170608171883125,65.17060817188312,0.10291162989979212,0.9577823631685486,2255
