dataset,drop_rate,arm,descriptive_runs,precision,recall,f1,false_positive_rate,average_precision
cadets,0.0,local_knn,3,0.01074614069018774,0.003269500233535731,0.005006781333124231,0.011289655860078742,0.03585355843153404
cadets,0.0,mlp_knn,3,0.011204449814379637,0.0031397581607763765,0.004903774695058777,0.01033900913956791,0.035936864288705246
cadets,0.0,gin_knn,3,0.01876496767721594,0.33206186102029167,0.03515459497748702,0.4194772217494804,0.6095001069822762
cadets,0.0,quality_gate,3,0.030144503459563876,0.0019980279204940576,0.003743892589969433,0.0024501902745549045,0.036344872545353214
cadets,0.0,confidence_selector,3,0.011136731149308259,0.0008822460947636099,0.0016269261606060815,0.0017725398627854725,0.035889865963940074
cadets,0.0,prior_mlp,3,0.0032645873360805816,0.0010119881675229644,0.0015450178797802496,0.011527801576214858,0.170180132989187
cadets,0.0,prior_gin,3,0.003366604783596366,0.0010379365820748353,0.0015866901875831953,0.011462940751088354,0.18985837013859697
cadets,0.0,prior_isolation_forest,3,0.001219588051834043,0.0003892262182780632,0.0005874063595276572,0.01220254777193385,0.16882827828232103
cadets,0.0,prior_type_rarity,3,0.0,0.0,0.0,0.0002468583642874361,0.09904588993763214
cadets,0.0,prior_quality_gate,3,0.0033663276820529316,0.0010379365820748353,0.0015866594826837324,0.01146390882310517,0.16987740610851
cadets,0.0,prior_confidence_selector,3,0.003364115904101401,0.0010379365820748353,0.0015864139750099988,0.011471653399239676,0.17473215155828478
cadets,0.5,local_knn,3,0.005120297403862732,0.0028802740152576675,0.003660485106142772,0.02117657536779476,0.03509349285064486
cadets,0.5,mlp_knn,3,0.036936699829373726,0.5040479526700918,0.06882953251151308,0.49030621085963827,0.03823249136365837
cadets,0.5,gin_knn,3,0.03517909011562917,0.5000518968291038,0.06560588961876947,0.5316864492183303,0.06999505476317557
cadets,0.5,quality_gate,3,0.040182818951995214,0.5027245835279465,0.07441606416226433,0.44812344079900795,0.03867147907450189
cadets,0.5,confidence_selector,3,0.026891860208650222,0.3354611033265868,0.04979014022759107,0.41794960410694876,0.0386260799272646
cadets,0.5,prior_mlp,3,0.004672961780832395,0.0008044008511079973,0.001372497825844684,0.006389275310968934,0.10245017810929417
cadets,0.5,prior_gin,3,0.004733014543042438,0.0008044008511079973,0.0013750529076140819,0.006307957261556602,0.10530019422785679
cadets,0.5,prior_isolation_forest,3,0.0015388590869469705,0.0002594841455187088,0.0004433064091878807,0.006307957261556602,0.09023294344796497
cadets,0.5,prior_type_rarity,3,0.0,0.0,0.0,0.0002468583642874361,0.09904588993763214
cadets,0.5,prior_quality_gate,3,0.004715803550036986,0.0008044008511079973,0.0013743419856398124,0.006331190989960126,0.0815141246459853
cadets,0.5,prior_confidence_selector,3,0.004665299147358027,0.0008044008511079973,0.0013721733508153414,0.0063999241031538825,0.0886153094295411
theia,0.0,local_knn,3,0.13162842054303656,0.022565398844082835,0.03851679164674717,0.010993964588915878,0.39156706651289924
theia,0.0,mlp_knn,3,0.13794729062117,0.021525336703661278,0.03722387467652596,0.009992236608149057,0.409378348898268
theia,0.0,gin_knn,3,0.776279813350107,0.9033400476585437,0.8323848758123097,0.020210905478617282,0.9360303692248912
theia,0.0,quality_gate,3,0.4913091244133329,0.19647958713482627,0.27994727643814804,0.009333809154124198,0.46934757085060413
theia,0.0,confidence_selector,3,0.881903228903722,0.6669036428505603,0.7310953094840099,0.005537677493676591,0.741567758405823
theia,0.0,prior_mlp,3,0.0032337120112778937,0.00043445633713811766,0.0007659989423563999,0.010614142729541793,0.3831133626772139
theia,0.0,prior_gin,3,0.0030523596776642257,0.00043445633713811766,0.0007605024811223796,0.01126630938368686,0.36166305264525184
theia,0.0,prior_isolation_forest,3,0.11230938688276791,0.019432047079268534,0.03313046720674236,0.011352917115357325,0.6680877238076461
theia,0.0,prior_type_rarity,3,0.0,0.0,0.0,9.391199819688963e-06,0.4276823881018869
theia,0.0,prior_quality_gate,3,0.0030523596776642257,0.00043445633713811766,0.0007605024811223796,0.01126630938368686,0.3820436570489744
theia,0.0,prior_confidence_selector,3,0.0030492979953408647,0.00043445633713811766,0.0007604139759521293,0.01127674405015318,0.382033071012295
theia,0.5,local_knn,3,0.35211096527239,0.4286504206327264,0.3864621638486408,0.06267478066331088,0.3028145285722816
theia,0.5,mlp_knn,3,0.0650996812091235,0.42876890872467316,0.11303541571169846,0.48810656716168727,0.19002529172670143
theia,0.5,gin_knn,3,0.11309183291798132,0.9299603723159157,0.20163869516283803,0.5784853872930805,0.1929993365326574
theia,0.5,quality_gate,3,0.07509731505285683,0.5051147359690352,0.1307539735301876,0.49310894626564156,0.20299981171870826
theia,0.5,confidence_selector,3,0.11332150444981226,0.7734507681977961,0.19766781716203888,0.47648234871820555,0.18289259146940964
theia,0.5,prior_mlp,3,0.00393781744931494,0.0003159682451913583,0.0005849950159347823,0.006334886011703522,0.3769568332609264
theia,0.5,prior_gin,3,0.003985408259262077,0.0003159682451913583,0.0005855158197308517,0.0062587129464993785,0.36504729232650884
theia,0.5,prior_isolation_forest,3,0.033012051961763766,0.002593572679279066,0.004809214787456832,0.005662893491272445,0.5629477118466719
theia,0.5,prior_type_rarity,3,0.0,0.0,0.0,9.391199819688963e-06,0.4276823881018869
theia,0.5,prior_quality_gate,3,0.003985408259262077,0.0003159682451913583,0.0005855158197308517,0.0062587129464993785,0.3751087215651172
theia,0.5,prior_confidence_selector,3,0.003963115532612625,0.0003159682451913583,0.0005852731501548085,0.006294190812484869,0.3749507783885604
