dataset,seed,scenario,drop_rate,arm,n,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,false_positives_per_10000_benign_nodes,average_precision,accuracy,predicted_positive
cadets,101,clean,0.0,local_knn,357173,44,4352,339975,12802,0.010009099181073703,0.003425190720846956,0.005103816262614546,0.012639148251516727,126.39148251516727,0.03584582382288845,0.9519728534911653,4396
cadets,101,clean,0.0,mlp_knn,357173,38,3625,340702,12808,0.010374010374010374,0.0029581192589132805,0.004603549579017506,0.010527783182846539,105.27783182846538,0.035958392588948035,0.9539914831188248,3663
cadets,101,clean,0.0,gin_knn,357173,1,1441,342886,12845,0.0006934812760055479,7.784524365561264e-05,0.00013997760358342665,0.004184975328684651,41.849753286846514,0.830595442825621,0.960002575782604,1442
cadets,101,clean,0.0,quality_gate,357173,24,1015,343312,12822,0.023099133782483156,0.0018682858477347033,0.0034569679510262873,0.0029477792911970307,29.477792911970308,0.035973568223641235,0.9612596696838787,1039
cadets,101,clean,0.0,confidence_selector,357173,29,1151,343176,12817,0.02457627118644068,0.0022575120660127666,0.004135177527449023,0.0033427526740569284,33.427526740569284,0.03595307065953087,0.9608929006391861,1180
cadets,101,clean,0.0,prior_mlp,357173,13,3948,340379,12833,0.003281999495077001,0.0010119881675229644,0.0015469744749211638,0.011465844967138795,114.65844967138796,0.17021621259678502,0.9530171653512444,3961
cadets,101,clean,0.0,prior_gin,357173,13,3948,340379,12833,0.003281999495077001,0.0010119881675229644,0.0015469744749211638,0.011465844967138795,114.65844967138796,0.18718697573897924,0.9530171653512444,3961
cadets,101,clean,0.0,prior_isolation_forest,357173,5,3709,340618,12841,0.0013462574044157242,0.0003892262182780632,0.0006038647342995169,0.010771737331083534,107.71737331083534,0.16884354880633726,0.9536639107659314,3714
cadets,101,clean,0.0,prior_type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,101,clean,0.0,prior_quality_gate,357173,13,3948,340379,12833,0.003281999495077001,0.0010119881675229644,0.0015469744749211638,0.011465844967138795,114.65844967138796,0.1701732232694796,0.9530171653512444,3961
cadets,101,clean,0.0,prior_confidence_selector,357173,13,3948,340379,12833,0.003281999495077001,0.0010119881675229644,0.0015469744749211638,0.011465844967138795,114.65844967138796,0.18323896642834936,0.9530171653512444,3961
cadets,211,clean,0.0,local_knn,357173,40,3780,340547,12806,0.010471204188481676,0.0031138097462245057,0.004800192007680307,0.010977936670664804,109.77936670664803,0.03584531675687402,0.9535631192727334,3820
cadets,211,clean,0.0,mlp_knn,357173,44,3683,340644,12802,0.011805741883552455,0.003425190720846956,0.005309841308151813,0.010696227713772082,106.96227713772083,0.03598745380980434,0.9538458954064277,3727
cadets,211,clean,0.0,gin_knn,357173,0,214529,129798,12846,0.0,0.0,0.0,0.6230385650849338,6230.385650849338,0.054119525080328676,0.3634037287252956,214529
cadets,211,clean,0.0,quality_gate,357173,23,735,343592,12823,0.030343007915567283,0.0017904406040790907,0.0033813584239929433,0.002134598797073712,21.34598797073712,0.03715556260054269,0.962040803756163,758
cadets,211,clean,0.0,confidence_selector,357173,0,119,344208,12846,0.0,0.0,0.0,0.0003456017100024105,3.456017100024105,0.03583963645496389,0.9637010636302296,119
cadets,211,clean,0.0,prior_mlp,357173,13,4010,340317,12833,0.003231419338801889,0.0010119881675229644,0.0015412887545201257,0.011645906362266102,116.45906362266102,0.17016210345385802,0.9528435800018479,4023
cadets,211,clean,0.0,prior_gin,357173,14,3952,340375,12832,0.0035300050428643467,0.001089833411178577,0.0016654770402093743,0.011477461831340557,114.77461831340557,0.1926689666583397,0.9530087660601445,3966
cadets,211,clean,0.0,prior_isolation_forest,357173,5,5205,339122,12841,0.0009596928982725527,0.0003892262182780632,0.0005538325210456358,0.015116444542542408,151.16444542542408,0.1688768196840732,0.9494754642708155,5210
cadets,211,clean,0.0,prior_type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,211,clean,0.0,prior_quality_gate,357173,14,3952,340375,12832,0.0035300050428643467,0.001089833411178577,0.0016654770402093743,0.011477461831340557,114.77461831340557,0.16929710470788978,0.9530087660601445,3966
cadets,211,clean,0.0,prior_confidence_selector,357173,14,3952,340375,12832,0.0035300050428643467,0.001089833411178577,0.0016654770402093743,0.011477461831340557,114.77461831340557,0.17078878698863142,0.9530087660601445,3966
cadets,307,clean,0.0,local_knn,357173,42,3530,340797,12804,0.011758118701007838,0.003269500233535731,0.005116335729077841,0.010251882658054698,102.51882658054699,0.03586953471483964,0.9542686597251192,3572
cadets,307,clean,0.0,mlp_knn,357173,39,3372,340955,12807,0.011433597185576077,0.003035964502568893,0.004797933198007013,0.009793016522085111,97.93016522085111,0.03586474646736338,0.9547026230986104,3411
