seed,method,domain,n,positive_rate,balanced_accuracy,balanced_error,auroc,explanation_drift,rank_spearman_to_reference,confidence_drift,feature_mean_drift,top_features
11,permutation,shift_0.0,840,0.5011904761904762,0.9274230579538433,0.07257694204615672,0.9719669612639528,0.0,1.0,0.0,0.0,"['feature_01', 'feature_02', 'feature_04']"
11,permutation,shift_1.0,840,0.5011904761904762,0.848788825333477,0.151211174666523,0.9135227523965557,0.0,0.9160839160839163,0.014154903418113318,0.0004778120845256272,"['feature_01', 'feature_02', 'feature_04']"
11,permutation,shift_2.0,840,0.5011904761904762,0.784457394883191,0.215542605116809,0.8683949455495779,0.0,0.8531468531468532,0.02980743670134045,0.007498982186093499,"['feature_01', 'feature_02', 'feature_04']"
11,permutation,shift_4.0,840,0.5011904761904762,0.7487542446385751,0.2512457553614249,0.8037687288476693,0.5,0.8741258741258742,0.04254352521965932,0.013824915677918236,"['feature_02', 'feature_03', 'feature_04']"
23,permutation,shift_0.0,840,0.5011904761904762,0.9166888701183113,0.08331112988168865,0.9735372649504817,0.0,1.0,0.0,0.0,"['feature_01', 'feature_02', 'feature_03']"
23,permutation,shift_1.0,840,0.5011904761904762,0.8368783269746427,0.1631216730253573,0.90719902040261,0.5,0.8391608391608393,0.015170107842620517,0.0004778120845256272,"['feature_01', 'feature_02', 'feature_04']"
23,permutation,shift_2.0,840,0.5011904761904762,0.7701092409820918,0.22989075901790823,0.8510535774012324,0.0,0.8041958041958043,0.03352640496140813,0.007498982186093499,"['feature_01', 'feature_02', 'feature_03']"
23,permutation,shift_4.0,840,0.5011904761904762,0.7332014353822867,0.26679856461771334,0.7792022630513779,0.5,0.8181818181818183,0.0482573414968086,0.013824915677918236,"['feature_02', 'feature_03', 'feature_04']"
37,permutation,shift_0.0,840,0.5011904761904762,0.9178765185743684,0.08212348142563164,0.9721171888729527,0.0,1.0,0.0,0.0,"['feature_01', 'feature_02', 'feature_04']"
37,permutation,shift_1.0,840,0.5011904761904762,0.8285534498494889,0.17144655015051113,0.9029019438885708,0.0,0.8931712471313916,0.017259799915734397,0.0004778120845256272,"['feature_01', 'feature_02', 'feature_04']"
37,permutation,shift_2.0,840,0.5011904761904762,0.770143254780356,0.22985674521964405,0.8550161848990072,0.5,0.8912280701754386,0.035232188957728006,0.007498982186093499,"['feature_02', 'feature_03', 'feature_04']"
37,permutation,shift_4.0,840,0.5011904761904762,0.7332241112477962,0.2667758887522038,0.7824335738864734,0.5,0.7513332680849711,0.04945350647256391,0.013824915677918236,"['feature_02', 'feature_03', 'feature_04']"
