seed,method,domain,n,positive_rate,balanced_accuracy,balanced_error,auroc,explanation_drift,rank_spearman_to_reference,confidence_drift,feature_mean_drift,top_features
37,lime,Thursday-WorkingHours-Morning-WebAttacks,30000,0.031966666666666664,0.5099061522419187,0.4900938477580813,0.9959581073380165,0.18181818181818177,0.8497156162919418,0.18565330851213263,0.13083599230450602,"[np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Flow IAT Mean'), np.str_('Fwd Header Length'), np.str_('Fwd Packets/s'), np.str_('Init_Win_bytes_backward'), np.str_('Init_Win_bytes_forward'), np.str_('Subflow Bwd Packets'), np.str_('Total Backward Packets'), np.str_('min_seg_size_forward')]"
37,lime,Thursday-WorkingHours-Afternoon-Infilteration,30000,0.00016666666666666666,0.49998333055509253,0.5000166694449075,0.45340890148358054,0.18181818181818177,0.8447532160171012,0.1851561859348667,0.1823050351928649,"[np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Flow IAT Mean'), np.str_('Fwd Header Length'), np.str_('Fwd Packets/s'), np.str_('Init_Win_bytes_backward'), np.str_('Init_Win_bytes_forward'), np.str_('Subflow Bwd Packets'), np.str_('Total Backward Packets'), np.str_('min_seg_size_forward')]"
37,lime,Friday-WorkingHours-Morning,30000,0.02723333333333333,0.49998286673748416,0.5000171332625158,0.5990608749221087,0.18181818181818177,0.8667022941558192,0.18766812942304223,0.12706000510048354,"[np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Flow IAT Mean'), np.str_('Fwd Header Length'), np.str_('Fwd Packets/s'), np.str_('Init_Win_bytes_backward'), np.str_('Init_Win_bytes_forward'), np.str_('Subflow Bwd Packets'), np.str_('Total Backward Packets'), np.str_('min_seg_size_forward')]"
37,lime,Friday-WorkingHours-Afternoon-PortScan,30000,0.7569333333333333,0.5002862427338383,0.49971375726616174,0.9454151599437288,0.18181818181818177,0.8687635988853685,0.1822121941897025,0.30552194417729783,"[np.str_('Avg Fwd Segment Size'), np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Flow IAT Mean'), np.str_('Fwd Packets/s'), np.str_('Init_Win_bytes_backward'), np.str_('Init_Win_bytes_forward'), np.str_('Subflow Bwd Packets'), np.str_('Total Backward Packets'), np.str_('min_seg_size_forward')]"
37,lime,Friday-WorkingHours-Afternoon-DDos,30000,0.5954666666666667,0.9981527093596059,0.001847290640394128,0.9998297005301315,0.33333333333333337,0.7304271481467343,0.2518444872083846,0.4050684295081501,"[np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Flow IAT Mean'), np.str_('Init_Win_bytes_backward'), np.str_('Init_Win_bytes_forward'), np.str_('Packet Length Std'), np.str_('Packet Length Variance'), np.str_('Subflow Bwd Packets'), np.str_('Total Backward Packets'), np.str_('min_seg_size_forward')]"
51,permutation,reference_validation,18000,0.1885,0.9993420908074487,0.0006579091925512648,0.9999997982306889,0.0,1.0,0.0,0.0,"[np.str_('Average Packet Size'), np.str_('Avg Bwd Segment Size'), np.str_('Bwd Packet Length Mean'), np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Init_Win_bytes_backward'), np.str_('Packet Length Std'), np.str_('Packet Length Variance'), np.str_('Subflow Bwd Bytes'), np.str_('Total Length of Bwd Packets')]"
51,permutation,Thursday-WorkingHours-Morning-WebAttacks,30000,0.031966666666666664,0.5109489051094891,0.4890510948905109,0.9950315470354217,0.8235294117647058,0.4425167244229866,0.18586731053145356,0.13083599230450602,"[np.str_('Avg Fwd Segment Size'), np.str_('Bwd IAT Mean'), np.str_('Bwd Packet Length Mean'), np.str_('Destination Port'), np.str_('Flow Bytes/s'), np.str_('Flow Duration'), np.str_('Flow Packets/s'), np.str_('Fwd IAT Min'), np.str_('Fwd Packets/s'), np.str_('Total Length of Bwd Packets')]"
51,permutation,Thursday-WorkingHours-Afternoon-Infilteration,30000,0.00016666666666666666,0.499966661110185,0.500033338889815,0.9680113352225372,0.5714285714285714,0.8334160400045805,0.18595872875863,0.1823050351928649,"[np.str_('Bwd Packet Length Mean'), np.str_('Destination Port'), np.str_('Fwd IAT Max'), np.str_('Fwd IAT Total'), np.str_('Fwd Packet Length Std'), np.str_('Packet Length Std'), np.str_('Packet Length Variance'), np.str_('Subflow Bwd Bytes'), np.str_('Subflow Fwd Bytes'), np.str_('Total Length of Bwd Packets')]"
51,permutation,Friday-WorkingHours-Morning,30000,0.02723333333333333,0.49998286673748416,0.5000171332625158,0.6247852208183945,0.8235294117647058,0.624676725194735,0.18766340810177398,0.12706000510048354,"[np.str_('Avg Bwd Segment Size'), np.str_('Bwd Header Length'), np.str_('Bwd Packet Length Max'), np.str_('Bwd Packet Length Mean'), np.str_('Bwd Packet Length Min'), np.str_('Bwd Packets/s'), np.str_('Fwd Header Length'), np.str_('Packet Length Std'), np.str_('Subflow Fwd Bytes'), np.str_('Total Length of Fwd Packets')]"
51,permutation,Friday-WorkingHours-Afternoon-PortScan,30000,0.7569333333333333,0.500308261405672,0.499691738594328,0.9672226735600368,0.8235294117647058,0.6301354175900326,0.1784858688651962,0.30552194417729783,"[np.str_('ACK Flag Count'), np.str_('Average Packet Size'), np.str_('Bwd Packets/s'), np.str_('Flow IAT Mean'), np.str_('Fwd Packet Length Mean'), np.str_('Fwd Packet Length Std'), np.str_('Fwd Packets/s'), np.str_('Init_Win_bytes_backward'), np.str_('Init_Win_bytes_forward'), np.str_('Packet Length Std')]"
