model,seeds,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,router_entropy_mean
Baseline-Single,5,0.6438184826820589,0.0015696548649208014,0.6424681533220574,0.6456009648608623,0.0
Ablation-NoStage,5,0.6313106036837104,0.07418443468146779,0.4986111549130664,0.6651941813714357,1.0958643597322835
Ablation-OracleStage,5,0.6312753707283077,0.07416448833762751,0.4986111549130664,0.6651941813714357,1.098576053185433
Baseline-TSE,5,0.6312753707283077,0.07416448833762751,0.4986111549130664,0.6651941813714357,1.0984740595999334
Treatment-Stage,5,0.598050981338766,0.09095243348649486,0.4982464700026667,0.6651941813714357,1.0984204259634545
