setting,method,shot,seed,group,group_external_id,group_degree,top1,top5,top10,mrr,rank
standard,overlap_cosine,5,13,Salt Typhoon,G1045,14,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Salt Typhoon,G1045,14,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Dragonfly,G0035,56,0.0,0.0,0.0,0.04,25.0
standard,frequency_prior,5,13,Dragonfly,G0035,56,0.0,0.0,0.0,0.045454545454545456,22.0
standard,overlap_cosine,5,13,Dragonfly,G0035,56,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Dragonfly,G0035,56,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Evilnum,G0120,11,0.0,0.0,0.0,0.007462686567164179,134.0
standard,frequency_prior,5,13,Evilnum,G0120,11,0.0,0.0,0.0,0.008403361344537815,119.0
standard,overlap_cosine,5,13,Evilnum,G0120,11,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Evilnum,G0120,11,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Gorgon Group,G0078,16,0.0,0.0,0.0,0.006493506493506494,154.0
standard,frequency_prior,5,13,Gorgon Group,G0078,16,0.0,0.0,0.0,0.010526315789473684,95.0
standard,overlap_cosine,5,13,Gorgon Group,G0078,16,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Gorgon Group,G0078,16,0.0,1.0,1.0,0.3333333333333333,3.0
standard,random_uniform,5,13,menuPass,G0045,46,0.0,0.0,0.0,0.007633587786259542,131.0
standard,frequency_prior,5,13,menuPass,G0045,46,0.0,0.0,0.0,0.030303030303030304,33.0
standard,overlap_cosine,5,13,menuPass,G0045,46,0.0,1.0,1.0,0.5,2.0
standard,svd32_graph_embedding,5,13,menuPass,G0045,46,0.0,1.0,1.0,0.3333333333333333,3.0
standard,random_uniform,5,13,APT32,G0050,78,0.0,0.0,0.0,0.009174311926605505,109.0
standard,frequency_prior,5,13,APT32,G0050,78,0.0,0.0,1.0,0.125,8.0
standard,overlap_cosine,5,13,APT32,G0050,78,0.0,1.0,1.0,0.5,2.0
standard,svd32_graph_embedding,5,13,APT32,G0050,78,1.0,1.0,1.0,1.0,1.0
