seed,condition,arm,macro_f1,stage_weighted_error,movement_recall,movement_f1,movement_any_attack_recall,exfil_recall,exfil_f1,exfil_ap,normal_false_attacks,context_selected_fraction,context_harm_count,context_help_count
20260924,clean,current_roles,0.7589663259346022,0.024099685718953934,0.7428571428571429,0.29545454545454547,0.7428571428571429,0.6751888436955259,0.7597254004576659,0.6890127447424923,117,,,
20260924,clean,context,0.7669077441442069,0.024051630513133488,0.45714285714285713,0.32323232323232326,0.45714285714285713,0.6719930273097037,0.7628627968337731,0.8455069652485913,42,,,
20260924,clean,fixed_fusion,0.7688346654420508,0.023902659375090105,0.4857142857142857,0.3300970873786408,0.4857142857142857,0.6743172574084835,0.7634868421052632,0.7214663700512246,51,,,
20260924,clean,confidence_gate,0.7680822754659383,0.023902659375090105,0.4857142857142857,0.3269230769230769,0.4857142857142857,0.6743172574084835,0.7636124362559632,0.8319500333183405,52,0.7640153007775332,16,93
20260924,clean,ordinary_gate,0.7711082749743208,0.023820965525195345,0.5428571428571428,0.3392857142857143,0.5428571428571428,0.6748983149331784,0.7632659766715952,0.6886768892642061,54,0.001605043874402914,12,94
20260924,clean,stage_harm_gate,0.7533013911542451,0.02414774092477438,0.6,0.2692307692307692,0.6,0.6722835560720511,0.7621870882740448,0.6877731311410038,95,0.003517641066056686,19,54
20260924,clean,context_dropout,0.7642897454521658,0.023921881457418283,0.45714285714285713,0.3137254901960784,0.45714285714285713,0.674607786170831,0.761686075118911,0.8660378815040501,63,,,
20260924,missing_half,current_roles,0.7589663259346022,0.024099685718953934,0.7428571428571429,0.29545454545454547,0.7428571428571429,0.6751888436955259,0.7597254004576659,0.6890127447424923,117,,,
20260924,missing_half,context,0.667203962354345,0.053413361269426314,0.2857142857142857,0.2702702702702703,0.2857142857142857,0.6693782684485764,0.767105044115199,0.7255332909009583,25,,,
20260924,missing_half,fixed_fusion,0.7609602277371268,0.024166963007102558,0.37142857142857144,0.2988505747126437,0.37142857142857144,0.6731551423590936,0.7648126753589701,0.6984999292998495,39,,,
20260924,missing_half,confidence_gate,0.7609382470591972,0.0243111286245639,0.37142857142857144,0.2988505747126437,0.37142857142857144,0.6731551423590936,0.766077037526864,0.7312978250289386,39,0.7912818245600546,79,95
20260924,missing_half,ordinary_gate,0.7589170833675062,0.023921881457418283,0.37142857142857144,0.29213483146067415,0.37142857142857144,0.6748983149331784,0.7621391076115486,0.6886928764663354,39,0.0013311292012263688,18,97
20260924,missing_half,stage_harm_gate,0.7577436782121172,0.024287101021653677,0.4857142857142857,0.288135593220339,0.4857142857142857,0.6699593259732713,0.7615587846763541,0.6864211618516397,64,0.003282170557536498,31,73
20260924,missing_half,context_dropout,0.7705891902357125,0.023955520101492593,0.6285714285714286,0.34108527131782945,0.6285714285714286,0.674607786170831,0.7598167539267016,0.7451811999362007,82,,,
20260924,missing_all,current_roles,0.7589663259346022,0.024099685718953934,0.7428571428571429,0.29545454545454547,0.7428571428571429,0.6751888436955259,0.7597254004576659,0.6890127447424923,117,,,
20260924,missing_all,context,0.43423787712992634,0.0824050669409017,0.0,0.0,0.0,0.6670540383497966,0.7705990938076859,0.6985499175515445,0,,,
20260924,missing_all,fixed_fusion,0.7188530056165974,0.024498543927263642,0.11428571428571428,0.13114754098360656,0.11428571428571428,0.6725740848343986,0.7659222497932175,0.6972313927807056,22,,,
20260924,missing_all,confidence_gate,0.7187137330404637,0.024801291723932455,0.11428571428571428,0.13114754098360656,0.11428571428571428,0.6725740848343986,0.7682097229135557,0.6997740956443215,22,0.8188414850980806,148,95
20260924,missing_all,ordinary_gate,0.7276556724036708,0.024061241554297577,0.14285714285714285,0.1694915254237288,0.14285714285714285,0.6748983149331784,0.7602683685157912,0.6887725459017318,21,0.0009370765134987073,22,96
20260924,missing_all,stage_harm_gate,0.7395438135554446,0.024484127365517507,0.22857142857142856,0.21621621621621623,0.22857142857142856,0.668506682161534,0.7612903225806451,0.685878956046353,33,0.002907339952137015,41,84
20260924,missing_all,context_dropout,0.767057027010412,0.02404682499255144,0.6857142857142857,0.3287671232876712,0.6857142857142857,0.6751888436955259,0.758609433654317,0.6791858461449937,105,,,
20260924,stale_5min,current_roles,0.7589663259346022,0.024099685718953934,0.7428571428571429,0.29545454545454547,0.7428571428571429,0.6751888436955259,0.7597254004576659,0.6890127447424923,117,,,
20260924,stale_5min,context,0.738414594642478,0.024080463636625755,0.22857142857142856,0.2077922077922078,0.22857142857142856,0.6725740848343986,0.7641525004126093,0.816933197901344,27,,,
20260924,stale_5min,fixed_fusion,0.7630388446917284,0.023873826251597837,0.37142857142857144,0.3058823529411765,0.37142857142857144,0.6743172574084835,0.7641152263374485,0.7193777366158753,37,,,
20260924,stale_5min,confidence_gate,0.7629970460524793,0.02387863177217988,0.37142857142857144,0.3058823529411765,0.37142857142857144,0.6743172574084835,0.7639894667544437,0.8150697212070578,37,0.69178352090882,17,111
20260924,stale_5min,ordinary_gate,0.7488748262688206,0.023912270416254194,0.37142857142857144,0.25,0.37142857142857144,0.6743172574084835,0.7632357777047024,0.6887478639708733,49,0.0015281555450901995,17,104
